Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],<20_Phaeo_[ug/L],>20_Chl_A_[ug/L],>20_Phaeo_[ug/L],Total_Chl_A_[ug/L],Total_Phaeo_[ug/L],Fraction Chl >20,Data flag
TGX202109,GAK12,B,2021-09-19T05:22:10,-147.9367,58.2395,2170,32,20.35,13,0.56,0.16,0.08,0.03,0.64,0.19,0.12,1
TGX202109,GAK12,B,2021-09-19T05:21:02,-147.9367,58.2395,2170,32,31.11,12,0.31,0.14,0.05,0.03,0.37,0.18,0.15,1
TGX202109,GAK12,B,2021-09-19T05:19:31,-147.9367,58.2395,2170,32,40.38,11,0.17,0.09,0.03,0.03,0.20,0.13,0.16,1
TGX202109,GAK12,B,2021-09-19T05:18:40,-147.9367,58.2395,2170,32,49.23,10,0.09,0.06,0.02,0.02,0.11,0.09,0.19,1
TGX202109,GAK12,B,2021-09-19T05:17:29,-147.9367,58.2395,2170,32,75.06,9,0.02,0.02,0.01,0.01,0.03,0.02,0.24,1
TGX202109,GAK15,B,2021-09-19T18:25:13,-147.501,57.792,4829,34,2.73,15,0.55,0.15,0.05,0.01,0.60,0.16,0.08,1
TGX202109,GAK15,B,2021-09-19T18:24:04,-147.501,57.792,4829,34,10.12,14,0.59,0.14,0.05,0.02,0.64,0.15,0.08,1
TGX202109,GAK15,B,2021-09-19T18:23:13,-147.501,57.792,4829,34,19.79,13,0.51,0.25,0.05,0.01,0.56,0.26,0.09,1
TGX202109,GAK15,B,2021-09-19T18:22:26,-147.501,57.792,4829,34,29.4,12,0.21,0.08,0.03,0.01,0.24,0.09,0.13,1
TGX202109,GAK15,B,2021-09-19T18:21:35,-147.501,57.792,4829,34,40.12,11,0.13,0.05,0.02,0.01,0.15,0.06,0.17,1
TGX202109,GAK15,B,2021-09-19T18:20:41,-147.501,57.792,4829,34,51.55,10,0.07,0.03,0.02,0.01,0.08,0.04,0.20,1
TGX202109,GAK15,B,2021-09-19T18:19:33,-147.501,57.792,4829,34,75.58,9,0.02,0.01,0.01,0.00,0.02,0.01,0.26,1
TGX202109,GAK14,B,2021-09-19T20:50:42,-147.654,57.9407,3518,35,2.67,15,0.64,0.20,0.07,0.02,0.71,0.22,0.10,1
TGX202109,GAK14,B,2021-09-19T20:49:20,-147.654,57.9407,3518,35,9.81,14,0.63,0.25,0.08,0.03,0.70,0.27,0.11,1
TGX202109,GAK14,B,2021-09-19T20:47:56,-147.654,57.9407,3518,35,19.81,13,0.53,0.24,0.06,0.02,0.59,0.26,0.11,1
TGX202109,GAK14,B,2021-09-19T20:46:58,-147.654,57.9407,3518,35,29.29,12,0.19,0.08,0.04,0.02,0.22,0.10,0.16,1
TGX202109,GAK14,B,2021-09-19T20:45:59,-147.654,57.9407,3518,35,41.41,11,0.10,0.06,0.03,0.02,0.13,0.08,0.21,1
TGX202109,GAK14,B,2021-09-19T20:45:02,-147.654,57.9407,3518,35,51.1,10,0.06,0.03,0.02,0.01,0.08,0.04,0.22,1
TGX202109,GAK14,B,2021-09-19T20:43:53,-147.654,57.9407,3518,35,75.76,9,0.02,0.01,0.01,0.00,0.03,0.01,0.26,1
TGX202109,GAK13,B,2021-09-19T23:13:29,-147.7852,58.0952,2059,36,2.62,15,0.68,0.26,0.08,0.02,0.75,0.28,0.10,1
TGX202109,GAK13,B,2021-09-19T23:12:08,-147.7852,58.0952,2059,36,10.03,14,0.69,0.26,0.10,0.03,0.78,0.29,0.12,1
TGX202109,GAK13,B,2021-09-19T23:11:07,-147.7852,58.0952,2059,36,19.46,13,0.60,0.27,0.07,0.04,0.67,0.31,0.10,1
TGX202109,GAK13,B,2021-09-19T23:09:40,-147.7852,58.0952,2059,36,29.18,12,0.29,0.12,0.04,0.02,0.33,0.14,0.12,1
TGX202109,GAK13,B,2021-09-19T23:08:19,-147.7852,58.0952,2059,36,40.54,11,0.12,0.06,0.02,0.02,0.14,0.08,0.16,1
TGX202109,GAK13,B,2021-09-19T23:07:05,-147.7852,58.0952,2059,36,49.5,10,0.06,0.03,0.02,0.01,0.08,0.04,0.22,1
TGX202109,GAK13,B,2021-09-19T23:04:59,-147.7852,58.0952,2059,36,73.61,9,0.01,0.01,0.01,0.00,0.02,0.01,0.27,1
TGX202109,GAK5,B,2021-09-20T18:00:35,-148.9042,59.2213,169,38,4.69,14,1.48,0.39,0.33,0.12,1.81,0.51,0.18,1
TGX202109,GAK5,B,2021-09-20T17:59:17,-148.9042,59.2213,169,38,10.56,12,1.58,0.32,0.34,0.11,1.92,0.43,0.18,1
TGX202109,GAK5,B,2021-09-20T17:58:06,-148.9042,59.2213,169,38,21.74,11,1.17,0.36,0.23,0.11,1.40,0.47,0.17,1
TGX202109,GAK5,B,2021-09-20T17:57:04,-148.9042,59.2213,169,38,30.24,10,0.21,0.18,0.05,0.08,0.25,0.27,0.18,1
TGX202109,GAK5,B,2021-09-20T17:55:49,-148.9042,59.2213,169,38,41,9,0.09,0.11,0.02,0.05,0.12,0.17,0.19,1
TGX202109,GAK5,B,2021-09-20T17:54:18,-148.9042,59.2213,169,38,51.1,8,0.06,0.09,0.01,0.03,0.07,0.12,0.14,1
TGX202109,GAK5,B,2021-09-20T17:52:58,-148.9042,59.2213,169,38,75,6,0.03,0.05,0.00,0.02,0.03,0.07,0.11,1
TGX202109,IB0,B,2021-09-21T21:16:20,-148.3673,60.2652,332,39,2.44,15,0.27,0.10,0.01,0.00,0.27,0.10,0.03,1
TGX202109,IB0,B,2021-09-21T21:15:19,-148.3673,60.2652,332,39,10.33,14,0.14,0.13,0.01,0.00,0.15,0.13,0.06,1
TGX202109,IB0,B,2021-09-21T21:14:14,-148.3673,60.2652,332,39,19.87,13,0.18,0.18,0.01,0.01,0.19,0.19,0.06,1
TGX202109,IB0,B,2021-09-21T21:13:18,-148.3673,60.2652,332,39,30.11,12,0.08,0.12,0.00,0.00,0.09,0.12,0.05,1
TGX202109,IB0,B,2021-09-21T21:12:11,-148.3673,60.2652,332,39,40.54,11,0.03,0.04,0.00,0.00,0.03,0.05,0.06,1
TGX202109,IB0,B,2021-09-21T21:11:15,-148.3673,60.2652,332,39,50.63,10,0.02,0.02,0.00,0.00,0.02,0.02,0.18,1
TGX202109,IB0,B,2021-09-21T21:09:42,-148.3673,60.2652,332,39,76.44,9,0.01,0.01,0.01,0.00,0.02,0.01,0.48,1
TGX202109,IB1,B,2021-09-21T22:06:39,-148.3348,60.2418,150,40,2.5,10,0.29,0.18,0.02,0.01,0.31,0.18,0.06,1
TGX202109,IB1,B,2021-09-21T22:05:50,-148.3348,60.2418,150,40,9.83,9,0.32,0.14,0.02,0.00,0.34,0.14,0.06,1
TGX202109,IB1,B,2021-09-21T22:04:59,-148.3348,60.2418,150,40,20.07,8,0.23,0.19,0.01,0.01,0.24,0.20,0.06,1
TGX202109,IB1,B,2021-09-21T22:03:54,-148.3348,60.2418,150,40,30.15,7,0.10,0.14,0.00,0.00,0.10,0.14,0.04,1
TGX202109,IB1,B,2021-09-21T22:02:51,-148.3348,60.2418,150,40,40.73,6,0.04,0.07,0.00,0.00,0.04,0.07,0.03,1
TGX202109,IB1,B,2021-09-21T22:01:48,-148.3348,60.2418,150,40,50.94,5,0.02,0.02,0.00,0.00,0.02,0.02,0.05,1
TGX202109,IB1,B,2021-09-21T22:00:50,-148.3348,60.2418,150,40,75.59,4,0.01,0.01,0.00,0.00,0.01,0.01,0.11,1
TGX202109,IB2,B,2021-09-21T23:24:42,-148.235,60.276,160,41,2.37,11,0.76,0.26,0.03,0.01,0.79,0.27,0.04,1
TGX202109,IB2,B,2021-09-21T23:23:44,-148.235,60.276,160,41,10.24,10,0.52,0.25,0.02,0.01,0.54,0.26,0.04,1
